playlist_index,artist_name,artist_uri,album_name,album_uri,track_name,track_uri,duration_ms_x,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
27,Ellie Goulding,spotify:artist:0X2BH1fck6amBIoJhDVmmJ,Bridget Jones’s Baby (Original Motion Picture Soundtrack),spotify:album:4JEghNfeXfS21MXpZWiRlc,"Still Falling For You - From ""Bridget Jones's Baby""",spotify:track:1s4txRBOvm6gImiomNpOZa,243373,2016-09-16,31,0.382,0.457,1,-10.329,1,0.0591,0.555,0.0,0.108,0.159,192.14,audio_features,1s4txRBOvm6gImiomNpOZa,https://api.spotify.com/v1/tracks/1s4txRBOvm6gImiomNpOZa,https://api.spotify.com/v1/audio-analysis/1s4txRBOvm6gImiomNpOZa,243373,4
28,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,dont smile at me,spotify:album:7fRrTyKvE4Skh93v97gtcU,idontwannabeyouanymore,spotify:track:41zXlQxzTi6cGAjpOXyLYH,203569,2017-12-22,77,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,audio_features,41zXlQxzTi6cGAjpOXyLYH,https://api.spotify.com/v1/tracks/41zXlQxzTi6cGAjpOXyLYH,https://api.spotify.com/v1/audio-analysis/41zXlQxzTi6cGAjpOXyLYH,203569,3
29,"P!nk, Nate Ruess","spotify:artist:1KCSPY1glIKqW2TotWuXOR, spotify:artist:1qUjOF5fzrpoNycD36b2jZ",The Truth About Love,spotify:album:2Q9oTK48eb85waX1fFJsvj,Just Give Me a Reason (feat. Nate Ruess),spotify:track:1mKXFLRA179hdOWQBwUk9e,242733,2012-09-18,83,0.778,0.547,2,-7.273,1,0.0489,0.344,0.000306,0.132,0.442,95.0,audio_features,1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/tracks/1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/audio-analysis/1mKXFLRA179hdOWQBwUk9e,242733,4
30,Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Illuminate (Deluxe),spotify:album:3wBabo4pmzsYjALMSKY7Iq,Mercy,spotify:track:0AS63m1wHv9n4VVRizK6Hc,208733,2017-04-20,79,0.554,0.662,11,-4.957,0,0.0821,0.126,0.0,0.111,0.338,148.122,audio_features,0AS63m1wHv9n4VVRizK6Hc,https://api.spotify.com/v1/tracks/0AS63m1wHv9n4VVRizK6Hc,https://api.spotify.com/v1/audio-analysis/0AS63m1wHv9n4VVRizK6Hc,208733,4
31,Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Illuminate,spotify:album:1ne2D0NxoGyZd31gAM4HNd,Treat You Better,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,187973,2017-04-20,83,0.443,0.82,10,-4.091,0,0.34,0.107,0.0,0.107,0.771,82.697,audio_features,3QGsuHI8jO1Rx4JWLUh9jd,https://api.spotify.com/v1/tracks/3QGsuHI8jO1Rx4JWLUh9jd,https://api.spotify.com/v1/audio-analysis/3QGsuHI8jO1Rx4JWLUh9jd,187973,4
32,Milky Chance,spotify:artist:1hzfo8twXdOegF3xireCYs,Blossom (Deluxe),spotify:album:7zuqkqhGkTH3PSdywhLgY4,Cocoon,spotify:track:0L87MffumRNWrY2SNUFcvs,255160,2017-03-17,59,0.743,0.659,10,-6.755,1,0.0343,0.0998,0.00028,0.0622,0.804,114.033,audio_features,0L87MffumRNWrY2SNUFcvs,https://api.spotify.com/v1/tracks/0L87MffumRNWrY2SNUFcvs,https://api.spotify.com/v1/audio-analysis/0L87MffumRNWrY2SNUFcvs,255160,4
33,Omah Lay,spotify:artist:5yOvAmpIR7hVxiS6Ls5DPO,Bad Influence,spotify:album:6rgGPAYSh9ViRtQG2zSJLy,Bad Influence,spotify:track:2c00DlvpzthGKcyXpe5GHa,138652,2020-01-16,59,0.861,0.508,0,-10.648,0,0.176,0.586,0.323,0.109,0.728,96.909,audio_features,2c00DlvpzthGKcyXpe5GHa,https://api.spotify.com/v1/tracks/2c00DlvpzthGKcyXpe5GHa,https://api.spotify.com/v1/audio-analysis/2c00DlvpzthGKcyXpe5GHa,138653,4
34,The Bangles,spotify:artist:51l0uqRxGaczYr4271pVIC,The Essential Bangles,spotify:album:4yaX6Gmlvo42PnGgBdhzGf,Eternal Flame,spotify:track:5MoDQWMDMaAGDEiWsJfeCi,238026,2004,66,0.526,0.358,4,-7.239,0,0.0243,0.525,0.0,0.0942,0.399,78.989,audio_features,5MoDQWMDMaAGDEiWsJfeCi,https://api.spotify.com/v1/tracks/5MoDQWMDMaAGDEiWsJfeCi,https://api.spotify.com/v1/audio-analysis/5MoDQWMDMaAGDEiWsJfeCi,238027,3
35,"DVBBS, BRIDGE","spotify:artist:5X4LWwbUFNzPkEas04uU82, spotify:artist:05LTJdcIWfHyQXC1za07k8",GOMF,spotify:album:0wKMJfUXwbbjotRP8t8zBp,GOMF,spotify:track:7CTzuqi7g4vW8BXcEacvdB,197217,2019-05-03,0,0.749,0.659,9,-6.746,0,0.0343,0.00198,0.000755,0.181,0.407,114.964,audio_features,7CTzuqi7g4vW8BXcEacvdB,https://api.spotify.com/v1/tracks/7CTzuqi7g4vW8BXcEacvdB,https://api.spotify.com/v1/audio-analysis/7CTzuqi7g4vW8BXcEacvdB,197217,4
36,Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH,AM,spotify:album:78bpIziExqiI9qztvNFlQu,Do I Wanna Know?,spotify:track:5FVd6KXrgO9B3JPmC8OPst,272394,2013-09-09,85,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,audio_features,5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/tracks/5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/audio-analysis/5FVd6KXrgO9B3JPmC8OPst,272394,4
